"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_names","who"
"39",0.846,0.809,2,-3.619,1,0.287,0.034,0,0.151,0.267,85.011,"audio_features","2cEnYJKLSZPH7MFSk6C05c","spotify:track:2cEnYJKLSZPH7MFSk6C05c","https://api.spotify.com/v1/tracks/2cEnYJKLSZPH7MFSk6C05c","https://api.spotify.com/v1/audio-analysis/2cEnYJKLSZPH7MFSk6C05c",216277,4,"Wala Cam","Annie"
"40",0.678,0.659,1,-4.694,1,0.312,0.492,0,0.106,0.675,173.988,"audio_features","3PdgIdRXJjgxfOr7slldel","spotify:track:3PdgIdRXJjgxfOr7slldel","https://api.spotify.com/v1/tracks/3PdgIdRXJjgxfOr7slldel","https://api.spotify.com/v1/audio-analysis/3PdgIdRXJjgxfOr7slldel",243180,4,"Work Out","Annie"
"41",0.514,0.693,9,-5.868,1,0.408,0.177,0,0.351,0.287,110.568,"audio_features","3EApebexZ7YqDIqw2EMTDh","spotify:track:3EApebexZ7YqDIqw2EMTDh","https://api.spotify.com/v1/tracks/3EApebexZ7YqDIqw2EMTDh","https://api.spotify.com/v1/audio-analysis/3EApebexZ7YqDIqw2EMTDh",240640,3,"I Might Need Security","Annie"
"42",0.519,0.749,6,-3.318,0,0.0405,0.271,0,0.119,0.29,147.905,"audio_features","0ZUo4YjG4saFnEJhdWp9Bt","spotify:track:0ZUo4YjG4saFnEJhdWp9Bt","https://api.spotify.com/v1/tracks/0ZUo4YjG4saFnEJhdWp9Bt","https://api.spotify.com/v1/audio-analysis/0ZUo4YjG4saFnEJhdWp9Bt",199947,4,"Before He Cheats","Annie"
"43",0.535,0.448,1,-8.919,0,0.175,0.601,0,0.376,0.284,120.554,"audio_features","388jD8ko9cvFM9cd9TYDrl","spotify:track:388jD8ko9cvFM9cd9TYDrl","https://api.spotify.com/v1/tracks/388jD8ko9cvFM9cd9TYDrl","https://api.spotify.com/v1/audio-analysis/388jD8ko9cvFM9cd9TYDrl",343213,4,"ROS","Annie"
"44",0.705,0.417,0,-12.742,1,0.2,0.143,0.033,0.395,0.267,79.001,"audio_features","4cSIwCwHBx80sXjBeb9Uw1","spotify:track:4cSIwCwHBx80sXjBeb9Uw1","https://api.spotify.com/v1/tracks/4cSIwCwHBx80sXjBeb9Uw1","https://api.spotify.com/v1/audio-analysis/4cSIwCwHBx80sXjBeb9Uw1",206582,4,"Feel It Still - Flatbush Zombies Remix","Annie"
"45",0.88,0.569,10,-6.517,0,0.221,0.0809,5.82e-05,0.214,0.474,134.924,"audio_features","1883mCuSqnfnrWoq8i3myH","spotify:track:1883mCuSqnfnrWoq8i3myH","https://api.spotify.com/v1/tracks/1883mCuSqnfnrWoq8i3myH","https://api.spotify.com/v1/audio-analysis/1883mCuSqnfnrWoq8i3myH",190187,4,"Programs","Annie"
"46",0.516,0.546,5,-9.105,1,0.249,0.814,4.5e-06,0.0995,0.515,78.267,"audio_features","64O6Y8wpgkcaOYRQioDuRB","spotify:track:64O6Y8wpgkcaOYRQioDuRB","https://api.spotify.com/v1/tracks/64O6Y8wpgkcaOYRQioDuRB","https://api.spotify.com/v1/audio-analysis/64O6Y8wpgkcaOYRQioDuRB",271733,4,"Small Worlds","Annie"
"47",0.578,0.714,7,-4.853,1,0.19,0.437,0,0.277,0.524,75.064,"audio_features","0ZBchpb4CLk5Qqu3895Etp","spotify:track:0ZBchpb4CLk5Qqu3895Etp","https://api.spotify.com/v1/tracks/0ZBchpb4CLk5Qqu3895Etp","https://api.spotify.com/v1/audio-analysis/0ZBchpb4CLk5Qqu3895Etp",228440,4,"Buttons","Annie"
"48",0.79,0.438,1,-6.462,1,0.133,0.0634,0,0.1,0.247,90.022,"audio_features","2qwn6whaZf7gax7SaqUZSC","spotify:track:2qwn6whaZf7gax7SaqUZSC","https://api.spotify.com/v1/tracks/2qwn6whaZf7gax7SaqUZSC","https://api.spotify.com/v1/audio-analysis/2qwn6whaZf7gax7SaqUZSC",248050,4,"Incredible","Annie"
"49",0.585,0.801,11,-5.406,0,0.0995,0.00601,8.2e-05,0.0865,0.283,101.987,"audio_features","3reay7NBijCy7n8xVLpDL8","spotify:track:3reay7NBijCy7n8xVLpDL8","https://api.spotify.com/v1/tracks/3reay7NBijCy7n8xVLpDL8","https://api.spotify.com/v1/audio-analysis/3reay7NBijCy7n8xVLpDL8",221747,4,"Passenger Side","Annie"
