"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_names","who","...1","outcome"
"119",0.73,0.515,11,-8.632,1,0.139,0.23,0.149,0.134,0.361,77.599,"audio_features","5wMfLe1nd26X7EQszhZjly","spotify:track:5wMfLe1nd26X7EQszhZjly","https://api.spotify.com/v1/tracks/5wMfLe1nd26X7EQszhZjly","https://api.spotify.com/v1/audio-analysis/5wMfLe1nd26X7EQszhZjly",204124,4,"Tucson","Annie",19,0
"120",0.693,0.367,3,-11.66,1,0.0323,0.351,2.9e-05,0.111,0.286,129.879,"audio_features","0c7iF5fSBYxCuwsAv2z4iI","spotify:track:0c7iF5fSBYxCuwsAv2z4iI","https://api.spotify.com/v1/tracks/0c7iF5fSBYxCuwsAv2z4iI","https://api.spotify.com/v1/audio-analysis/0c7iF5fSBYxCuwsAv2z4iI",274632,4,"Green Mountain State","Annie",20,0
"121",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,"audio_features","1PS1QMdUqOal0ai3Gt7sDQ","spotify:track:1PS1QMdUqOal0ai3Gt7sDQ","https://api.spotify.com/v1/tracks/1PS1QMdUqOal0ai3Gt7sDQ","https://api.spotify.com/v1/audio-analysis/1PS1QMdUqOal0ai3Gt7sDQ",207627,4,"Gold Digger","Annie",21,0
"122",0.796,0.522,7,-4.977,0,0.0542,0.241,0,0.164,0.379,125.011,"audio_features","6Cu73hlNbhejRe966kx5bi","spotify:track:6Cu73hlNbhejRe966kx5bi","https://api.spotify.com/v1/tracks/6Cu73hlNbhejRe966kx5bi","https://api.spotify.com/v1/audio-analysis/6Cu73hlNbhejRe966kx5bi",190114,4,"Pretty Girl","Annie",22,0
"123",0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507,"audio_features","01z2fBGB8Hl3Jd3zXe4IXR","spotify:track:01z2fBGB8Hl3Jd3zXe4IXR","https://api.spotify.com/v1/tracks/01z2fBGB8Hl3Jd3zXe4IXR","https://api.spotify.com/v1/audio-analysis/01z2fBGB8Hl3Jd3zXe4IXR",161840,4,"Come Back to Earth","Annie",23,0
"124",0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,"audio_features","5p7GiBZNL1afJJDUrOA6C8","spotify:track:5p7GiBZNL1afJJDUrOA6C8","https://api.spotify.com/v1/tracks/5p7GiBZNL1afJJDUrOA6C8","https://api.spotify.com/v1/audio-analysis/5p7GiBZNL1afJJDUrOA6C8",245640,4,"Hurt Feelings","Annie",24,0
"125",0.759,0.492,1,-10.338,0,0.12,0.736,0.00989,0.107,0.561,104.974,"audio_features","2dgrYdgguVZKeCsrVb9XEs","spotify:track:2dgrYdgguVZKeCsrVb9XEs","https://api.spotify.com/v1/tracks/2dgrYdgguVZKeCsrVb9XEs","https://api.spotify.com/v1/audio-analysis/2dgrYdgguVZKeCsrVb9XEs",288640,4,"What's the Use?","Annie",25,0
"126",0.599,0.317,1,-11.212,1,0.174,0.748,0,0.111,0.203,148.09,"audio_features","0Xcy81PsJCOO6mhLZaQyQ4","spotify:track:0Xcy81PsJCOO6mhLZaQyQ4","https://api.spotify.com/v1/tracks/0Xcy81PsJCOO6mhLZaQyQ4","https://api.spotify.com/v1/audio-analysis/0Xcy81PsJCOO6mhLZaQyQ4",215413,4,"Perfecto","Annie",26,0
"127",0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,"audio_features","5bJ1DrEM4hNCafcDd1oxHx","spotify:track:5bJ1DrEM4hNCafcDd1oxHx","https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx","https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx",345133,4,"Self Care","Annie",27,0
"128",0.656,0.33,8,-8.771,1,0.162,0.818,0.00386,0.107,0.349,119.057,"audio_features","16umSNZfofRpDqTvf8DIAo","spotify:track:16umSNZfofRpDqTvf8DIAo","https://api.spotify.com/v1/tracks/16umSNZfofRpDqTvf8DIAo","https://api.spotify.com/v1/audio-analysis/16umSNZfofRpDqTvf8DIAo",250120,4,"Wings","Annie",28,0
